store_nbr;Store name;city;state;type;cluster
1;BB - FC-GUWAHATI-BHANAGAGHAR-CITY SQUARE  G.S ROAD;GUWAHATI;Assam;D;13
2;BB-JOHRAT-MOUZA- NAGARMHAL-PMS / B&A COMPLEX ;JOHRAT;#N/A;D;13
3;BB-SILCHAR-PARGANA-BARAKPUR-GOLDOGH COMMERCIAL COMPLEX;SILCHAR;#N/A;D;8
4;FBB-GUWAHATI-PALTAN BAZAR-G.S.ROAD;GUWAHATI;Assam;D;9
5;BB - FC-PATNA-PATALIPUTRA COLONY-P&M MALL;PATNA;Bihar;D;4
6;BB-PATNA- EXHIBITION ROAD-P MALL;PATNA;Bihar;D;13
7;FBB-BHAGALPUR-DN SINGHROAD-JIWANSAGAR TOWER;BHAGALPUR;Bihar;D;8
8;BB-PATNA-BAILEY ROAD-KASHYAP BUSINESS PARK;PATNA;Bihar;D;8
9;BB-RAIPUR-DEVENDRA NAGAR-OPP-EPF BUILDING;RAIPUR;Chhattisgarh;B;6
10;BB-BILASPUR-24 MAGARPARA LINK ROAD-RAO TRADE CENTER;BILASPUR;Chhattisgarh;C;15
11;BB-BHILAI-NEHRU NAGAR-SURYA TREASURE ISLAND MALL;BHILAI;Chhattisgarh;B;6
12;FBB-RAIPUR-BIDHANSABHA ROAD-AMBUJA MALL CITY ;RAIPUR;Chhattisgarh;C;15
13;BB-DHANBAD- SARAIDHELA-SRI RAM CITY MALL;DHANBAD;Jharkhand;C;15
14;BB - FC-RANCHI-MAIN ROAD OPP RANCHI CLUB-JC TOWER;RANCHI;Jharkhand;C;7
15;BB-JAMSHEDPUR-NEAR DIMNA CHOWK;JAMSHEDPUR;Jharkhand;C;15
16;BB-DEOGHAR-SUBHASH ROAD;DEOGHAR;Jharkhand;C;3
17;BB-NAGPUR- RAMDAS PETH-LANDMARK BLDG ;NAGPUR;Maharashtra;C;12
18;BB - FC-NAGPUR- VARDHMAN NAGAR- POONAM MALL;NAGPUR;Maharashtra;B;16
19;BB-NAGPUR-RAILWAY STATION ROAD- EMPRESS MALL;NAGPUR;Maharashtra;C;15
20;FBB-NAGPUR- SITABULDI-ETERNITY MALL;NAGPUR;Maharashtra;B;6
21;BB-JHARSUGDA- SARBAHAL ROAD-SHANTI CITY CENTRE;JHARSUGDA;#N/A;B;6
22;BB-BHUBHANESHWAR- KHARVEL NAGAR-FORUM MART ;BHUBHANESWAR;#N/A;C;7
23;BB-BHUBHANESHWAR- PATIA- MARUTI MALL;BHUBHANESWAR;0;D;9
24;BB-CUTTACK- OLD JAIL ROAD-NETAJI SUBHAS CHANDRA BOSE SHOPPING ARCADE;CUTTACK;Odisha;D;1
25;BB-SAMBALPUR- KHETRAJPUR-CITY CENTRE;SAMBALPUR;Odisha;D;1
26;BB-GANGTOK-NAMNAG ROAD-NAMNAG COMMERICAL COMPLEX;GANGTOK;Sikkim;D;10
27;BB-AGARTALA- MANTRI BARI ROAD-M.L.PLAZA;AGARTALA;Tripura;D;1
28;BB-KOLKATA- RAGHUNATHPUR- VIP ROAD;KOLKATA;West Bengal;E;10
29;BB-KOLKATA-HILAND PARK-THE METROPOLIS;KOLKATA;West Bengal;E;10
30;BB-KOLKATA-RAJA .S.C. MULLICK ROAD-ORBIT MALL;KOLKATA;West Bengal;C;3
31;BB-KOLKATA-J.L.NEHRU ROAD-LIC-ESPALANDE ;KOLKATA;West Bengal;B;10
32;BB - FC-KOLKATA-BELEGHATA AIN ROAD-SEALDAH COMMERCIAL COMPLEX;KOLKATA;West Bengal;C;3
33;BB-KOLKATA-SALT LAKE CITY;KOLKATA;West Bengal;C;3
34;BB-KOLKATA-BIRATI;KOLKATA;West Bengal;B;6
35;BB-BARASAT-JESSORE ROAD-SUNCITY MALL;BARASAT;West Bengal;C;3
36;BB-HOWRAH- LILUAH-R.D MALL ;HOWRAH;West Bengal;E;10
37;BB-ASANSOL-BURNBPUR ROAD-GALAXY MALL;ASANSOL;West Bengal;D;2
38;BB-HOWRAH-JAGAT BANERJEE GHAT ROAD-AVANI RIVER SIDE MALL;HOWRAH;West Bengal;D;4
39;BB-DARJEELING- LADEN LA ROAD-RINK MALL ;DARJEELING;#N/A;B;6
40;BB-SILIGURI- SEVOKE ROAD-COSMOS MALL;SILIGURI;West Bengal;C;3
41;FBB-SILIGURI-CITY CENTER SILIGURI MALL;SILIGURI;West Bengal;D;4
42;BB-DURGAPUR-   DURGAPUR-DREAMPLEX COMPLEX;DURGAPUR;West Bengal;D;2
43;BB-BURDWAN- JAIL KHANA MORE-BURDWAN ARCADE;BURDWAN;0;E;10
44;FBB-KOLKATA- MANIKTALA MAIN ROAD- MANISQUARE MALL;KOLKATA;West Bengal;A;5
45;BB-KHARAGPUR- KHARAGPUR-PUJA MALL;KHARAGPUR;West Bengal;A;11
46;BB-KOLKATA-JESSORE ROAD- DIAMOND CITY NORTH MALL;KOLKATA;West Bengal;A;14
47;BB-KOLKATA- PARGANAS-WOOD SQUARE MALL;KOLKATA;West Bengal;A;14
48;BB-KOLKATA-RAJARHAT-BLOCK BY BLOCK SHOPPING MALL;KOLKATA;West Bengal;A;14
49;BB-KOLKATA-RASHBEHARI AVENUE-LAKEMALL;KOLKATA;West Bengal;A;11
50;FBB-KOLKATA- HOWRAH MAIDAN;KOLKATA;West Bengal;A;14
51;BB-KOLKATA-SREEBHUMI- ALCOVE GLORIA;KOLKATA;West Bengal;A;17
52;BB-KOLKATA- SHREERAMPUR-RD PLAZA;KOLKATA;West Bengal;A;11
53;BB-HALDIA- DIST. EAST OF MADINIPUR-MOUZA DEBHOG;HALDIA;West Bengal;D;13
54;BB-BOKARO-BOKARO STEEL CITY- THE BOKARO MALL;BOKARO;Jharkhand;C;3
;BB- KRISHNA NAGAR-SENTRUM MALL; KRISHNA NAGAR;#N/A;E;12
;BB-ROURKELA-SHANTI TOWERS;ROURKELA;Odisha;D;10
;BB-PURULIA - CITY CENTER MALL;PURULIA;0;C;5
;BB-RAIPUR-GE ROAD-MAGNETO MALL;RAIPUR;Chhattisgarh;B;13
;BB-BILASPUR-SRIKANT VERMA RD;BILASPUR;Chhattisgarh;E;6
;BB-GAYA-KAZMI OASIS;GAYA;Bihar;D;16
;BB-MUMBAI- KANDIVLI(EAST)-GROWEL'S;MUMBAI;Maharashtra;D;12
;BB-THANE- BHAYANDAR(WEST)-MAXUS MALL;THANE;Maharashtra;C;7
;BB-THANE- THANE(WEST)-HIGH STREET MALL;THANE;Maharashtra;D;4
;BB-THANE- KALYAN (EAST)-THANE -METRO JUNCTION MALL;THANE;Maharashtra;D;13
;BB-NAVI MUMBAI- VASHI-RAGHULEELA MALL;NAVI MUMBAI;Maharashtra;C;1
;BB-MUMBAI- MULUND-LBS MARG- R- MALL;MUMBAI;Maharashtra;D;5
;BB-MUMBAI- GHATKOPAR (WEST)-R-CITY MALL;MUMBAI;Maharashtra;A;10
;FB-MUMBAI- ANDHERI (WEST)-LOKHANDWALA-INFINITY MALL;MUMBAI;Maharashtra;C;3
;FB-MUMBAI- GOREGAON (EAST)-THE HUB;MUMBAI;Maharashtra;C;15
;FB-MUMBAI- CHEMBUR (EAST)-K STAR MALL;MUMBAI;Maharashtra;B;6
;FB-MUMBAI-LBS MARG VIKHROLI (WEST)-247 PARK;MUMBAI;Maharashtra;A;14
;FB-MUMBAI-GHATKOPAR-(EAST)-R ODEAN MALL VALLABH BAUGH ;MUMBAI;Maharashtra;D;13
;FBB-MUMBAI- CHEMBUR (EAST)- K-STAR MALL;MUMBAI;Maharashtra;C;7
;BB-MUMBAI- ANDHERI EAST-MAXUS MALL;MUMBAI;Maharashtra;B;15
;BB-THANE- ULHASNAGAR THANE - FUN CITY;THANE;Maharashtra;A;7
;BB-THANE- DOMBIVALI (E)- EMPRESS MALL;THANE;Maharashtra;C;16
;FB-MUMBAI- MUMBAI CENTRAL(E)- ORCHID CITY CENTRE ;MUMBAI;Maharashtra;E;13
;FBB-MUMBAI- MUMBAI CENTRAL-ORCHID CITY CENTRAL MALL;MUMBAI;Maharashtra;B;15
;BB-NAVI MUMBAI-PANVEL-KANDPILE THEATERS;NAVI MUMBAI;Maharashtra;C;12
;BB-MUMBAI-VILEPARLE EAST -PARLE SQUARE MALL;MUMBAI;Maharashtra;A;17
;FBB -MUMBAI- DADAR WEST-STAR MALL;MUMBAI;Maharashtra;D;3
;FBB-VIRAR-GOLD CREAST  ;MUMBAI;Maharashtra;A;9
;BB-THANE- VASAI WEST-DATTANI CUBE;THANE;Maharashtra;C;11
;BB-MUMBAI-MATUNGA ROAD-ERA HOUSE;MUMBAI ;#N/A;C;12
;BB-DAHISAR-THAKUR MALL;MUMBAI ;0;A;8
;BB-MUMBAI-MALAD-INFINITY MALL;MUMBAI ;#N/A;C;4
;FBB-MUMBAI-PHOENIX MILL-LOWER PAREL;MUMBAI ;#N/A;E;15
;BB-NEW DELHI- WAZIRPUR-NETAJI SHUBHASH PLACE;NEW DELHI;Delhi;B;1
;BB-NEW DELHI- INDERLOK-PARSAVNATH METRO MALL;NEW DELHI;Delhi;A;15
;BB-NEW DELHI- RAJA GARDEN-WEST GATE MALL;NEW DELHI;Delhi;E;11
;BB-NEW DELHI- VASANT KUNJ-VASANT SQUARE MALL;NEW DELHI;Delhi;D;15
;BB-DELHI-MAYUR VIHAR EXTN;DELHI;Delhi;C;15
;FB-NEW DELHI- ROHINI-VIKAS SURYA SHOPPING MALL;NEW DELHI;Delhi;E;4
;BB-NEW DELHI- LAXMI NAGAR-V3S MALL;NEW DELHI;Delhi;D;5
;FB-DELHI-RAJENDRA PLACE;DELHI;Delhi;A;2
;FBB-DELHI-PUSA ROAD-KAROL BAGH;DELHI;Delhi;B;10
;FBB-DELHI-KAMLA NAGAR;DELHI;Delhi;B;14
;FBB-NEW DELHI- JANAKPURI;NEW DELHI;Delhi;D;14
;BB-NEW DELHI-VASANT KUNJ-AMBIANCE MALL;NEW DELHI;Delhi;C;10
;BB-GURGAON-NATHUPUR-AMBIENCE MALL;GURGAON;Haryana;B;15
;BB-GURGAON- MAIN MEHRAULI GURGAON ROAD-SAHARA MALL;GURGAON;Haryana;E;12
;BB-GURGAON- GURGAON SHONA ROAD-SPAZEDGE MALL;GURGAON;Haryana;B;15
;BB-FARIDABAD-DELHI MATHURA ROAD-SARAI KHAWAJA ;FARIDABAD;Haryana;B;6
;BB-NOIDA-THE GREAT INDIA PLACE;NOIDA;Uttar Pradesh;D;15
;BB-GHAZIABAD- KAUSHAMBHI-EAST DELHI MALL;GHAZIABAD;Uttar Pradesh;A;4
;BB-GHAZIABAD- INDIRAPURAM-ADITYA MALL;GHAZIABAD;Uttar Pradesh;B;3
;FB-GHAZIABAD- INDRAPURAM- SHIPRA MALL;GHAZIABAD;Uttar Pradesh;E;15
;FBB-GHAZIABAD- VAIBAV KHAND INDIRAPURAM-SHIPRA MALL;GHAZIABAD;Uttar Pradesh;C;17
;FBB-DWARAKA-RAMPAL CHOWK-PALAM EXTENSION;NEW DELHI;Delhi;A;16
;BB-ROHINI-AMBIENCE TOWER;NEW DELHI;Delhi;B;4
;FBB-GURGAON-SECTOR 14;GURGAON;Haryana;A;4
;BB-GURGAON-SECTOR 49-OMAXE CITY CENTRE;GURGAON;Haryana;A;8
;BB-GHAZIABAD-CHOUDHARY MOD-OPULENT MALL;GHAZIABAD;Uttar Pradesh;C;5
;BB-GHAZIABAD-SECTOR 3-MAHAGUN METRO-MALL;GHAZIABAD;Uttar Pradesh;A;15
;BB-NOIDA-SECTOR 18-MALL OF INDIA;NOIDA;Uttar Pradesh;A;13
;BB-NEW DELHI-ROHTAK ROAD-KAROL BAGH;NEW DELHI;Delhi;D;15
;BB-CHANDIGARH-ELANTE MALL;CHANDIGARH;Chandigarh;E;4
;BB-AMBALA- AMBALA CANTT-MINERVA COMPLEX;AMBALA;Haryana;D;15
;BB-PANIPAT- HUDA-MITTALS MEGA MALL;PANIPAT;Haryana;B;17
;BB-YAMUNANAGAR-JAGADHARI;YAMUNANAGAR;Haryana;C;8
;BB-BADDI- SAI CHAKKAN ROAD-HOMELAND CITY MALL;BADDI;#N/A;C;10
;BB-JABALPUR- GUWAHARIGHAT ROAD-SOUTH AVENUE MALL;JABALPUR;Madhya Pradesh;B;4
;BB-GWALIOR- M.L.B. ROAD-DINDAYAL CITY MALL;GWALIOR;Madhya Pradesh;B;13
;BB-BHOPAL-AURA MALL;BHOPAL;Madhya Pradesh;E;4
;BB-UJJAIN-COSMOS MALL;UJJAIN;Madhya Pradesh;D;11
;BB-INDORE-AB ROAD INDORE-MALHAR MEGA MALL ;INDORE;Madhya Pradesh;E;16
;BB-ZEERAKPUR-PARAS DOWN TOWN SQUARE MALL;ZEERAKPUR;#N/A;D;4
;BB-BHATINDA- GUINIANA ROAD-MITTAL MALL ;BHATINDA;0;D;16
;BIG BAZAAR-AMRITSAR-TRILIUM MALL;AMRITSAR;Punjab;E;15
;BB-LUCKNOW- HAZRATGANJ-SAHARA MALL;LUCKNOW;Uttar Pradesh;E;10
;BB-LUCKNOW- GOMTI NAGAR-RIVERSIDE MALL;LUCKNOW;Uttar Pradesh;E;14
;BB-LUCKNOW-PHOENIX UNITED UPAL MALL;LUCKNOW;Uttar Pradesh;A;2
;BB-LUCKNOW- INDRA NAGAR-ELDEE SHALIMAR PLAZA;LUCKNOW;Uttar Pradesh;E;11
;FBB-LUCKNOW- QAISARBAGH;LUCKNOW;Uttar Pradesh;D;3
;FBB-LUCKNOW- KAPOORTHALA - ALIGANJ;LUCKNOW;Uttar Pradesh;E;11
;BB-KANPUR- GUTAIYA-MOTI RAVE MALL;KANPUR;Uttar Pradesh;C;10
;BB-KANPUR-KIDWAI NAGAR-SOUTH EX MALL;KANPUR;Uttar Pradesh;B;15
;BB-KANPUR- M.G. ROAD-Z-SQUARE MALL;KANPUR;Uttar Pradesh;C;4
;BB-ALLAHABAD- CIVIL LINE-ATLANTIC MULTIPLEX;ALLAHABAD;Uttar Pradesh;C;11
;BB-MATHURA-AGRA ROAD-PACIFIC MALL;MATHURA;Uttar Pradesh;B;3
;BB-AGRA- PROFESSOR COLONY-RATTAN MALL;AGRA;Uttar Pradesh;B;6
;BB-DEHRADUN- HARIDWAR BYPASS-THE CITY JUNCTION MALL;DEHRADUN;Uttarakhand;B;3
;BB-DEHRADUN- RAJPUR ROAD- KAPOOR TOWER;DEHRADUN;Uttarakhand;E;12
;BB-BAREILLY-PHEONIX MARKET CITY;BAREILLY;Uttar Pradesh;A;11
;FBB-AGRA- M.G ROAD AGRA- CASTLE GRANT ;AGRA;Uttar Pradesh;D;6
;BB-VARANASI- GULBAGH SIGARA-GRAND;VARANASI;Uttar Pradesh;D;6
;FBB-ALLAHABAD-SADAR PATEL MARG- CIVIL LINES;ALLAHABAD;Uttar Pradesh;A;13
;FBB-LUCKNOW- ALAMBAGH-B.M. PALACE;LUCKNOW;Uttar Pradesh;A;13
;FBB-HARIDWAR- RANIPUR-PENTAGON MALL;HARIDWAR;Uttarakhand;B;12
;BB-RUDRAPUR-METROPOLIS MALL;RUDRAPUR;#N/A;B;4
;BB-KATNI-CITY MALL-BARHI ROAD;KATNI;#N/A;E;4
;BB-JALANDHAR-NR. LADOWALI ROAD-VASAL MALL;JALANDHAR;Punjab;E;10
;BB-PATIALA-ON MALL ROAD-OMAXE MALL;PATIALA;Punjab;A;16
;BB-AGRA-SANJAY PLACE-ASHOK BHAVAN;AGRA;Uttar Pradesh;D;4
;BB-LUDHIANA-FEROZEPUR ROAD-GURDEV NAGAR;LUDHIANA;Punjab;B;12
;BB-VARANASI-ORDERLY BAZAAR-RAJ COMPLEX;VARANASI;Uttar Pradesh;D;13
;BB-MEERUT-HAPUR BYPASS-SHOPPRIX MALL;MEERUT;Uttar Pradesh;A;1
;BB-VISHAKHAPATNAM-DWARAKANAGAR;VISHAKHAPATNAM;;B;2
;FBB-BHIMAVARAM-UNDI ROAD-COASTAL CITY CENTER MALL;BHIMAVARAM;Andhra Pradesh;E;8
;FBB-VIZIANAGARAM-NCS MALL;VIZIANAGARAM;#N/A;E;17
;FBB-MARGOA-CINE VISHANT COMPLEX;MARGOA;#N/A;A;1
;BB-BENGALURU-KORAMANGALA;BENGALURU;#N/A;E;13
;BB-BENGALURU-9TH BLOCK JAYANAGAR;BENGALURU;#N/A;B;17
;BB-BENGALURU- J.P NAGAR;BENGALURU;#N/A;D;3
;BB-BENGALURU-HEBBAL-NAGASHETTY HALLI;BENGALURU;#N/A;B;13
;BB-FC-BENGALURU- OLD MADRAS ROAD ;BENGALURU;#N/A;C;4
;BB - FC-BENGALURU- BANASHANKARI-PROMENDE BMP ;BENGALURU;#N/A;E;3
;BB - FC-BENGALURU-MALLESHWARAM- HOUSUJA'S MALL;BENGALURU;#N/A;B;8
;BB-BENGALURU-ULSOOR VILLAGE-LEDO MALL;BENGALURU;#N/A;A;13
;BB-BENGALURU- MAHADEVAPURA - PHOENIX MARKET CITY;BENGALURU;#N/A;C;12
;BB-BENGALURU- AMBALIPURA VILLAGE-  CORONET GREEN APARTMENT;BENGALURU;#N/A;B;4
;BB-FC-BENGALURU-RAJAJINAGAR;BENGALURU;#N/A;B;6
;FBB-BENGALURU- MURUGESHPALYA-KEMP FORT MALL;BENGALURU;#N/A;A;17
;BB-GULBARGA- DARGA ROAD- SHRADHA MALL;GULBARGA;Karnataka;E;10
;BB-HUBLI-AKSHAY CENTRE-GOKUL ROAD;HUBLI;#N/A;C;14
;BB-UDUPI-TMA PAI HOSPITAL;UDUPI;Karnataka;C;12
;BB-BELGAUM- TILAKWADI;BELGAUM;Karnataka;E;1
;BB-MANGALORE- BEJAI-BHARATH MALL ;MANGALORE;Karnataka;D;15
;BB-HASSAN-B.M.ROAD-VENKATADRI TOWER;HASSAN;#N/A;A;17
;BB - FC-MYSORE- JHANSI LAKSHMI BAI ROAD- CHAMARAJ PURAM;MYSORE;Karnataka;E;16
;BB-MYSORE HIGHWAY-MANDYA;MANDYA;#N/A;C;17
;CT-FB-BENGALURU- SIRAJPURA RING RAOD-SOUL SPACE SPIRIT;BENGALURU;#N/A;E;5
;FBB-MANGALORE- HAMPANAKATTA-CITY CENTRE MALL;MANGALORE;Karnataka;E;2
;BB-DAVANGERE- P.B. ROAD-NSK COMPLEX;DAVANGERE;#N/A;B;12
;FBB-BENGALURU-VARTHUR HOBLI;BENGALURU;#N/A;E;9
;FBB-UDUPI-MANIPAL-HOTEL CENTRAL PARK ROAD;UDUPI;Karnataka;A;7
;BB-TRIVENDRUM- M.G. ROAD (PAZHAVANGADI)-RAVI'S ARCADE;TRIVENDRUM;#N/A;E;13
;BB-TRIVENDRUM- PATTOM JUNCTION-KALPANA HEIGHTS;TRIVENDRUM;#N/A;E;10
;BB-PALAKKAD-ENGLISH CHURCH ROAD;PALAKKAD;;D;10
;BB-CALICUT-KOZHIKODE-PVS CITY PARK ;CALICUT;#N/A;E;14
;BB-KASARGOD;KASARGOD;;A;8
;BB-COCHIN-PONNURUNNI-GOLD SOUK GRANDE ;KOCHI;Kerala;C;8
;FBB-COCHIN- PONNURUNNI-GOLD SOUK GRANDE ;KOCHI;Kerala;E;2
;BB-COCHIN-MARADU KOTTARAM TEMPLE -NUCLUES MALL;KOCHI;Kerala;B;16
;BB-THRISSUR- KARUNAKARAN NAMBIAR ROAD-FALCON CITY;THRISSUR;Kerala;B;5
;BB-COCHIN-KOCHI-CENTRE SQUARE MALL;KOCHI;Kerala;C;8
;FBB-CALICUT-NATIONALHIGHWAY-HI LITE MALL;CALICUT;#N/A;E;6
;BB-CHENNAI- SALIGRAMAM (VADAVPALANI)- ANAND RAM DEVELOPER;CHENNAI;Tamil Nadu;B;15
;BB-CHENNAI- THYAGARAJA ROAD-JANPRIYA CENTRE;CHENNAI;Tamil Nadu;A;16
;BB - FC-CHENNAI-EXPRESS AVENUE;CHENNAI;Tamil Nadu;E;2
;BB-CHENNAI-VELACHERY MAIN ROAD- PHOENIX MARKET ;CHENNAI;Tamil Nadu;A;6
;BB-CHENNAI-PERAMBUR-SPECTRUM MALL;CHENNAI;Tamil Nadu;A;15
;BB-TIRIPUR- VALARMATHI BUS STOP;TIRUPUR;#N/A;D;4
;BB-COIMBATORE- SAVITHRI SHANMUGAM ROAD- UNITEA CENTER;COIMBATORE;Tamil Nadu;C;9
;BB-MADURAI-BYEPASS ROAD;MADURAI;Tamil Nadu;B;9
;BB-HOSUR- BAGALUR ROAD-H V ARCADE;HOSUR;#N/A;C;6
;BB-HYDERABAD-  ABIDS -MAHESHWARI PALACE MALL ;HYDERABAD;Telangana;D;9
;BB-HYDERABAD- L.B.NAGAR CROSS ROAD-VASANT ARCADE;HYDERABAD;Telangana;A;9
;BB - FC-HYDERABAD-TARNAKA- SAADATH PLAZA;HYDERABAD;Telangana;A;14
;BB - FC-HYDERABAD-KACHIGUDA X ROAD-PARAMESHWARI TOWERS;HYDERABAD;Telangana;A;11
;BB - FC-HYDERABAD- AMEERPETH- OLD GOLD SPOT BLDG;HYDERABAD;Telangana;C;16
;BB-HYDERABAD- SAIDABAD - VINAY NAGAR SOC. ARIHANT TOWER;HYDERABAD;Telangana;C;3
;BB-HYDERABAD-AMIRIKUUKATPALLY ;HYDERABAD;Telangana;D;10
;BB-HYDERABAD- KOMPALLY;HYDERABAD;Telangana;A;11
;FBB-HYDERABAD-BANJARA HILLS-CITY CENTRE MALL;HYDERABAD;Telangana;D;16
;FBB-HYDERABAD- BALANAGAR-SMR VINAY CAPITAL;HYDERABAD;Telangana;A;12
;FBB-HYDERABAD- KUKATPALLY-MANJEERA MALL ;HYDERABAD;Telangana;A;7
;FBB-HYDERABAD-RAJENDRANAGAR MANDAL-M-CUBE;HYDERABAD;Telangana;D;5
;FBB-HYDERABAD-BEGUMPET-OASIS CENTER;HYDERABAD;Telangana;A;14
;FBB-BENGALURU-J. P. NAGAR-BANNERGHATA ROAD;BENGALURU;#N/A;C;4
;BB-SHIVAMOGGA- SHIVAMOGGA- KSRTC BUS TERMINAL;SHIVAMOGGA;Karnataka;A;14
;BB-BENGALURU-BANERGATTA ROAD-SRK TOWERS;BENGALURU;0;A;14
;FBB-CHENNAI-CITY CENTER-MYLAPORE;CHENNAI;Tamil Nadu;C;4
;FBB SLN-HYDERABAD-TERMINUS MAL;HYDERABAD;Telangana;A;4
;BB-BIDAR-MANHALLI ROAD-SAPANA COMPLEX;BIDAR;Karnataka;C;12
;FBB-CHENNAI-ALWARPETH-MYLAPORE;CHENNAI;Tamil Nadu;D;4
;FBB-VIJAYAWADA- MOGHALRAJPURAM-PVP SQUARE MALL;VIJAYAWADA;Andhra Pradesh;B;13
;BB-VIJAYWADA- GOPALAREDDY ROAD-V V COMPLEX;VIJAYWADA;#N/A;C;8
;BB-BENGALURU-VB COLONY-BANASWADI;BENGALURU;#N/A;C;7
;BB-MYSORE-GOKULAM ROAD-JAYALAKSHMIPURAM;MYSORE;Karnataka;D;4
;BB-MANGALORE-N G ROAD-ATTAVARA;MANGALORE;Karnataka;B;1
;FBB-THRISSUR-SOBHA CITY MALL;THRISSUR;Kerala;C;11
;BB-GOA-MALL DE GOA;BARDEZ;#N/A;D;16
;BB-HYDERABAD-UPPAL-SPRAK HOSPITAL;HYDERABAD;Telangana;D;15
;BB-AHMEDABAD-KANKARIA RD-AHMEDABAD CITY MALL;AHMEDABAD;Gujarat;E;3
;BB-AHMEDABAD-GURUKOOL-HIMALAYA MALL;AHMEDABAD;Gujarat;D;17
;BB-FC-SURAT- PIPLOD-KAMDHENU MALL;SURAT;Gujarat;E;15
;BB-ANAND-CITY PULSE MALL 2 MULTIPLEX;ANAND;Gujarat;D;13
;BB-VADODARA- FATEHGUNJ-SEVEN SEAS MALL;VADODARA;Gujarat;C;15
;BB-BHARUCH-SHALIMAR TALKIES COMPOUND;BHARUCH;#N/A;E;2
;BB-RAJKOT- KALAYAD ROAD-BHARATH ISKON MALL;RAJKOT;Gujarat;E;8
;BB-VAPI-SALVAV GRAM-EMPRESS MALL;VAPI;0;E;6
;BB-AHMEDABAD-SUGHAD-AGORA MALL;AHMEDABAD;Gujarat;C;7
;BB-THANE- TARAPUR - BOISAR ROAD-OSWAL EMPIRE;TARAPUR;;E;17
;BB-PUNE- CHINCHWAD-PREMIER PLAZA;PUNE;Maharashtra;D;2
;BB - FC-PUNE- KOTHRUD-REVOLUTION MALL;PUNE;Maharashtra;D;6
;BB-PUNE-DHANORI ALANDI ROAD-SHOPPER ORBIT;PUNE;Maharashtra;A;13
;BB - FC-PUNE- KHARADI BY PASS-AMANORA TOWN CENTER ;PUNE;Maharashtra;E;13
;BB-PUNE- MAIN BANER ROAD-AMAR-ARMA GENESIS;PUNE;Maharashtra;D;6
;FBB-PUNE-VILLAGE PIMPRI WAGHERE- CITY ONE MALL;PUNE;Maharashtra;D;7
;BB-NASIK- COLLEGE ROADTHE ZONE;NASIK;#N/A;C;10
;BB-NASIK-MHASOBA MAHARAJ TEMPLE;NASIK;#N/A;D;17
;BB-NASIK- LAWATE NAGAR-CITY CENTRE MALL;NASIK;#N/A;D;2
;BB-KOLHAPUR- SHIVAJI UDYAM NAGAR;KOLHAPUR;Maharashtra;D;13
;BB-AHMEDNAGAR- SARDA MILL COMPOUND- SARDA TOWERS;AHMEDNAGAR;Maharashtra;B;7
;FBB-AURANGABAD-AIRPOT ROAD-PROZONE MALL;AURANGABAD;Maharashtra;D;3
;BB-ICHALKARANJI-SANGLI ROAD-FORTUNE PLAZA;ICHALKARANJI;Maharashtra;E;13
;BB-JALGAON- NEHRUCHOWK MG ROAD-KHANDESH CENTRAL;JALGAON;Maharashtra;D;17
;BB-LATUR-BABASAHEB PARANJAPE MARG-BABASAHEB PARANJAPE MARG;LATUR;Maharashtra;D;4
;BB-SOLAPUR-MANTRI CHANDAK ARCADE-SAAT RASRA CHOWK;SOLAPUR;Maharashtra;D;1
;FBB-PUNE-VIMAN NAGAR-PHOENIX MARKET CITY MLL;PUNE;Maharashtra;E;5
;BB-JAIPUR- TONK ROAD-CITY SQUARE MALL;JAIPUR;Rajasthan;A;12
;BB-JAIPUR- VAISHALINAGAR CIRCLE;JAIPUR;Rajasthan;B;3
;BB-KOTA-JHALAWAD RD-CITY MALL;KOTA;#N/A;D;6
;BB-UDAIPUR- OLD FOUNTAIN HOTEL-SUKHARIA CIRCLE;UDAIPUR;Rajasthan;A;5
;FBB-JAIPUR-JHOTWARA ROAD-TRITON MALL;JAIPUR;Rajasthan;A;11
;FBB-BHIWADI-BHIWADI-CAPITAL MALL;BHIWADI;#N/A;B;10
;BB-JODHPUR- NEXT TO SANGHI PETROL PUMP-CITY CENTER ;JODHPUR;Rajasthan;D;2
;BB-JAIPUR- NEW SANGANER ROAD- TRINITI MALL;JAIPUR;Rajasthan;A;16
;BB-BHIWADI-TESIL TIZARA;BHIWADI;#N/A;B;16
;BB-JAIPUR-JANTA COLONY-PINK SQUARE MALL;JAIPUR;Rajasthan;A;17
;BB-AJMER-PANCHSHEEL NAGAR-CITY SQUARE MALL;AJMER;Rajasthan;E;1
;BB-AHMEDABAD-THALTEJ CROSS RD-ACROPOLIC MALL;AHMEDABAD;Gujarat;A;6
;BB-RAJASTHAN-SRI GANGA NAGAR-CGR MALL;SRI GANGA NAGAR;;E;7
;FBB-BHAVNAGAR-HIMALAYA MALL;BHAVNAGAR;Gujarat;A;9
;BB-UDAIPUR-THE CELEBRATION MALL;UDAIPUR;Rajasthan;A;16
;BB-PUNE-SINHAGAD ROAD-ABHIRUCHI MALL;PUNE;Maharashtra;C;10
;BB-PUNE-XION MALL;PUNE;Maharashtra;C;3
